First Rank,Name,Count Yes,Count No,Count Don't Know,Count No Response,Total Responses,Percent Yes,Percent No,Percent Don't Know,Yes Rank
9,Torchy's Tacos,573,117,18,0,708,80.9,16.5,2.5,1
102,Whole Foods,151,46,8,0,205,73.7,22.4,3.9,2
2,Home Slice Pizza,506,90,112,0,708,71.5,12.7,15.8,3
5,Hopdoddy Burger Bar,461,148,96,3,708,65.1,20.9,14.0,4
4,Tacodeli,457,130,118,3,708,64.5,18.4,17.1,5
76,Magnolia Cafe,128,38,38,1,205,62.4,18.5,19.0,6
37,Rudy's Country Store & Bar-B-Q,127,56,22,0,205,62.0,27.3,10.7,7
92,Easy Tiger,122,5,75,3,205,59.5,2.4,38.0,8
1,Franklin BBQ,417,53,236,2,708,58.9,7.5,33.6,9
47,Draught House Pub & Brewery,119,7,79,0,205,58.0,3.4,38.5,10
77,Banger's Sausage House & Beer Garden,117,10,76,2,205,57.1,4.9,38.0,11
33,Magnolia Cafe,404,180,123,1,708,57.1,25.4,17.5,12
23,Kerbey Lane Café,395,266,47,0,708,55.8,37.6,6.6,13
68,The Mohawk,113,21,69,2,205,55.1,10.2,34.6,14
85,East Side Pies,110,24,71,0,205,53.7,11.7,34.6,15
27,East Side King @ Liberty Bar,375,47,284,2,708,53.0,6.6,40.4,16
11,Uchi,362,42,302,2,708,51.1,5.9,42.9,17
34,Ramen Tatsu-Ya,102,11,92,0,205,49.8,5.4,44.9,18
87,Chi'Lantro,100,18,86,1,205,48.8,8.8,42.4,19
14,Uchiko,342,41,320,5,708,48.3,5.8,45.9,20
54,la Barbecue,91,4,110,0,205,44.4,2.0,53.7,21
74,South Congress Cafe,88,14,103,0,205,42.9,6.8,50.2,23
49,Epoch,88,16,101,0,205,42.9,7.8,49.3,22
12,Mozart's Coffee Roasters,300,119,287,2,708,42.4,16.8,40.8,24
22,Continental Club,283,73,349,3,708,40.0,10.3,49.7,25
91,Eastside Cafe,81,13,111,0,205,39.5,6.3,54.1,27
73,Pinthouse Pizza,81,17,107,0,205,39.5,8.3,52.2,26
97,Casino El Camino,79,20,105,1,205,38.5,9.8,51.7,28
69,Barley Swine,77,2,124,2,205,37.6,1.0,61.5,29
83,Halcyon,74,30,101,0,205,36.1,14.6,49.3,30
8,Moonshine Patio Bar & Grill,249,113,339,7,708,35.2,16.0,48.9,31
89,G'Raj Mahal,71,21,112,1,205,34.6,10.2,55.1,32
40,Craft Pride,68,6,129,2,205,33.2,2.9,63.9,35
79,Fonda San Miguel,68,13,124,0,205,33.2,6.3,60.5,33
64,Antone's,68,39,97,1,205,33.2,19.0,47.8,34
