Timestamp,Franklin BBQ,Home Slice Pizza,The Jackalope,Tacodeli,Hopdoddy Burger Bar,HandleBar,Salty Sow,Moonshine Patio Bar & Grill,Torchy's Tacos,Rio Rita,Uchi,Mozart's Coffee Roasters,Jo's Coffee,Uchiko,Houndstooth Coffee,Summermoon Coffee Bar,Cactus Cafe,Dominican Joe,Icenhauer's,Clive Bar,Anderson Mill Tavern,Continental Club,Kerbey Lane Café,Donn's Depot,Bennu Coffee,Jack Allen's Kitchen,East Side King @ Liberty Bar,Bufalina,The White Horse,BuzzMill Coffee,Bouldin Creek Cafe,Via 313 Pizza,Magnolia Cafe,Did I leave anything else? Where do you love to take friends from out of town?,Anything else?,Your name
11/11/2014 21:14:39,Yes,Yes,No,No,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,No,No,No,No,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Mi Madré's,,
11/11/2014 21:33:48,Yes,No,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,No,Yes,,,
11/11/2014 21:36:05,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,
11/11/2014 21:36:18,Yes,Yes,No,No,Yes,No,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Yes,Yes,"South Congress Cafe, Trudy's, 219 West",,
11/11/2014 21:39:22,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,,,
11/11/2014 21:39:33,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,No,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,,,
11/11/2014 21:40:19,Yes,Yes,No,No,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,,,
11/11/2014 21:44:08,No,Yes,Yes,No,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,No,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,,,
11/11/2014 21:44:57,Never heard of it / Never been there,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,"chuys, trudy's, east side cafe, east side pies, vivos, spiderhouse, stubbs",,
11/11/2014 21:46:02,No,Yes,Yes,No,No,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,No,No,Never heard of it / Never been there,No,Never heard of it / Never been there,,,
11/11/2014 21:47:27,Yes,Never heard of it / Never been there,No,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,,,
